date,yyyy_mm,day,product,theory,infor,present,missing_vs_theory,missing_vs_infor
2020-01-01,2020-01,1,VNP14IMG,240,240,239,1,1
2020-01-02,2020-01,2,VNP14IMG,240,240,240,0,0
2020-01-03,2020-01,3,VNP14IMG,240,240,239,1,1
2020-01-04,2020-01,4,VNP14IMG,240,240,240,0,0
2020-01-05,2020-01,5,VNP14IMG,240,240,239,1,1
2020-01-06,2020-01,6,VNP14IMG,240,238,237,3,1
2020-01-07,2020-01,7,VNP14IMG,240,240,240,0,0
2020-01-08,2020-01,8,VNP14IMG,240,233,232,8,1
2020-01-09,2020-01,9,VNP14IMG,240,240,240,0,0
2020-01-10,2020-01,10,VNP14IMG,240,240,240,0,0
2020-01-11,2020-01,11,VNP14IMG,240,240,240,0,0
2020-01-12,2020-01,12,VNP14IMG,240,240,240,0,0
2020-01-13,2020-01,13,VNP14IMG,240,240,240,0,0
2020-01-14,2020-01,14,VNP14IMG,240,240,240,0,0
2020-01-15,2020-01,15,VNP14IMG,240,240,240,0,0
2020-01-16,2020-01,16,VNP14IMG,240,240,240,0,0
2020-01-17,2020-01,17,VNP14IMG,240,240,239,1,1
2020-01-18,2020-01,18,VNP14IMG,240,240,240,0,0
2020-01-19,2020-01,19,VNP14IMG,240,240,239,1,1
2020-01-20,2020-01,20,VNP14IMG,240,240,240,0,0
2020-01-21,2020-01,21,VNP14IMG,240,240,239,1,1
2020-01-22,2020-01,22,VNP14IMG,240,237,237,3,0
2020-01-23,2020-01,23,VNP14IMG,240,240,240,0,0
2020-01-24,2020-01,24,VNP14IMG,240,240,240,0,0
2020-01-25,2020-01,25,VNP14IMG,240,240,240,0,0
2020-01-26,2020-01,26,VNP14IMG,240,240,240,0,0
2020-01-27,2020-01,27,VNP14IMG,240,240,240,0,0
2020-01-28,2020-01,28,VNP14IMG,240,240,239,1,1
2020-01-29,2020-01,29,VNP14IMG,240,240,240,0,0
2020-01-30,2020-01,30,VNP14IMG,240,240,240,0,0
2020-01-31,2020-01,31,VNP14IMG,240,240,239,1,1
2020-02-01,2020-02,1,VNP14IMG,240,240,239,1,1
2020-02-02,2020-02,2,VNP14IMG,240,240,240,0,0
2020-02-03,2020-02,3,VNP14IMG,240,240,240,0,0
2020-02-04,2020-02,4,VNP14IMG,240,240,239,1,1
2020-02-05,2020-02,5,VNP14IMG,240,240,240,0,0
2020-02-06,2020-02,6,VNP14IMG,240,240,239,1,1
2020-02-07,2020-02,7,VNP14IMG,240,240,240,0,0
2020-02-08,2020-02,8,VNP14IMG,240,240,240,0,0
2020-02-09,2020-02,9,VNP14IMG,240,240,239,1,1
2020-02-10,2020-02,10,VNP14IMG,240,240,240,0,0
2020-02-11,2020-02,11,VNP14IMG,240,240,240,0,0
2020-02-12,2020-02,12,VNP14IMG,240,240,240,0,0
2020-02-13,2020-02,13,VNP14IMG,240,240,240,0,0
2020-02-14,2020-02,14,VNP14IMG,240,240,240,0,0
2020-02-15,2020-02,15,VNP14IMG,240,240,240,0,0
2020-02-16,2020-02,16,VNP14IMG,240,240,240,0,0
2020-02-17,2020-02,17,VNP14IMG,240,240,240,0,0
2020-02-18,2020-02,18,VNP14IMG,240,240,239,1,1
2020-02-19,2020-02,19,VNP14IMG,240,240,240,0,0
2020-02-20,2020-02,20,VNP14IMG,240,240,240,0,0
2020-02-21,2020-02,21,VNP14IMG,240,240,240,0,0
2020-02-22,2020-02,22,VNP14IMG,240,240,240,0,0
2020-02-23,2020-02,23,VNP14IMG,240,240,240,0,0
2020-02-24,2020-02,24,VNP14IMG,240,240,240,0,0
2020-02-25,2020-02,25,VNP14IMG,240,240,240,0,0
2020-02-26,2020-02,26,VNP14IMG,240,240,240,0,0
2020-02-27,2020-02,27,VNP14IMG,240,240,239,1,1
2020-02-28,2020-02,28,VNP14IMG,240,240,240,0,0
2020-02-29,2020-02,29,VNP14IMG,240,240,240,0,0
2020-03-01,2020-03,1,VNP14IMG,240,240,240,0,0
2020-03-02,2020-03,2,VNP14IMG,240,240,239,1,1
2020-03-03,2020-03,3,VNP14IMG,240,240,240,0,0
2020-03-04,2020-03,4,VNP14IMG,240,240,240,0,0
2020-03-05,2020-03,5,VNP14IMG,240,240,240,0,0
2020-03-06,2020-03,6,VNP14IMG,240,240,240,0,0
2020-03-07,2020-03,7,VNP14IMG,240,240,239,1,1
2020-03-08,2020-03,8,VNP14IMG,240,240,239,1,1
2020-03-09,2020-03,9,VNP14IMG,240,240,240,0,0
2020-03-10,2020-03,10,VNP14IMG,240,240,240,0,0
2020-03-11,2020-03,11,VNP14IMG,240,240,240,0,0
2020-03-12,2020-03,12,VNP14IMG,240,240,240,0,0
2020-03-13,2020-03,13,VNP14IMG,240,240,239,1,1
2020-03-14,2020-03,14,VNP14IMG,240,240,240,0,0
2020-03-15,2020-03,15,VNP14IMG,240,240,240,0,0
2020-03-16,2020-03,16,VNP14IMG,240,240,240,0,0
2020-03-17,2020-03,17,VNP14IMG,240,240,240,0,0
2020-03-18,2020-03,18,VNP14IMG,240,240,240,0,0
2020-03-19,2020-03,19,VNP14IMG,240,240,240,0,0
2020-03-20,2020-03,20,VNP14IMG,240,240,240,0,0
2020-03-21,2020-03,21,VNP14IMG,240,240,240,0,0
2020-03-22,2020-03,22,VNP14IMG,240,240,240,0,0
2020-03-23,2020-03,23,VNP14IMG,240,240,240,0,0
2020-03-24,2020-03,24,VNP14IMG,240,240,240,0,0
2020-03-25,2020-03,25,VNP14IMG,240,240,240,0,0
2020-03-26,2020-03,26,VNP14IMG,240,240,239,1,1
2020-03-27,2020-03,27,VNP14IMG,240,240,240,0,0
2020-03-28,2020-03,28,VNP14IMG,240,240,240,0,0
2020-03-29,2020-03,29,VNP14IMG,240,240,240,0,0
2020-03-30,2020-03,30,VNP14IMG,240,240,238,2,2
2020-03-31,2020-03,31,VNP14IMG,240,240,240,0,0
