date,product,interval_min,num_files,num_missing,missing_overpasses
2020-01-01,VNP14IMG,6,239,1,1012
2020-01-02,VNP14IMG,6,240,0,
2020-01-03,VNP14IMG,6,239,1,1924
2020-01-04,VNP14IMG,6,240,0,
2020-01-05,VNP14IMG,6,239,1,0706
2020-01-06,VNP14IMG,6,237,3,1148 1512 1518
2020-01-07,VNP14IMG,6,240,0,
2020-01-08,VNP14IMG,6,232,8,1518 1524 1530 1536 1542 1648 1654 1812
2020-01-09,VNP14IMG,6,240,0,
2020-01-10,VNP14IMG,6,240,0,
2020-01-11,VNP14IMG,6,240,0,
2020-01-12,VNP14IMG,6,240,0,
2020-01-13,VNP14IMG,6,240,0,
2020-01-14,VNP14IMG,6,240,0,
2020-01-15,VNP14IMG,6,240,0,
2020-01-16,VNP14IMG,6,240,0,
2020-01-17,VNP14IMG,6,239,1,1648
2020-01-18,VNP14IMG,6,240,0,
2020-01-19,VNP14IMG,6,239,1,0018
2020-01-20,VNP14IMG,6,240,0,
2020-01-21,VNP14IMG,6,239,1,2018
2020-01-22,VNP14IMG,6,237,3,1606 1612 1618
2020-01-23,VNP14IMG,6,240,0,
2020-01-24,VNP14IMG,6,240,0,
2020-01-25,VNP14IMG,6,240,0,
2020-01-26,VNP14IMG,6,240,0,
2020-01-27,VNP14IMG,6,240,0,
2020-01-28,VNP14IMG,6,239,1,0554
2020-01-29,VNP14IMG,6,240,0,
2020-01-30,VNP14IMG,6,240,0,
2020-01-31,VNP14IMG,6,239,1,0606
2020-02-01,VNP14IMG,6,239,1,0242
2020-02-02,VNP14IMG,6,240,0,
2020-02-03,VNP14IMG,6,240,0,
2020-02-04,VNP14IMG,6,239,1,0800
2020-02-05,VNP14IMG,6,240,0,
2020-02-06,VNP14IMG,6,239,1,1254
2020-02-07,VNP14IMG,6,240,0,
2020-02-08,VNP14IMG,6,240,0,
2020-02-09,VNP14IMG,6,239,1,0254
2020-02-10,VNP14IMG,6,240,0,
2020-02-11,VNP14IMG,6,240,0,
2020-02-12,VNP14IMG,6,240,0,
2020-02-13,VNP14IMG,6,240,0,
2020-02-14,VNP14IMG,6,240,0,
2020-02-15,VNP14IMG,6,240,0,
2020-02-16,VNP14IMG,6,240,0,
2020-02-17,VNP14IMG,6,240,0,
2020-02-18,VNP14IMG,6,239,1,0118
2020-02-19,VNP14IMG,6,240,0,
2020-02-20,VNP14IMG,6,240,0,
2020-02-21,VNP14IMG,6,240,0,
2020-02-22,VNP14IMG,6,240,0,
2020-02-23,VNP14IMG,6,240,0,
2020-02-24,VNP14IMG,6,240,0,
2020-02-25,VNP14IMG,6,240,0,
2020-02-26,VNP14IMG,6,240,0,
2020-02-27,VNP14IMG,6,239,1,1812
2020-02-28,VNP14IMG,6,240,0,
2020-02-29,VNP14IMG,6,240,0,
2020-03-01,VNP14IMG,6,240,0,
2020-03-02,VNP14IMG,6,239,1,2024
2020-03-03,VNP14IMG,6,240,0,
2020-03-04,VNP14IMG,6,240,0,
2020-03-05,VNP14IMG,6,240,0,
2020-03-06,VNP14IMG,6,240,0,
2020-03-07,VNP14IMG,6,239,1,2100
2020-03-08,VNP14IMG,6,239,1,0000
2020-03-09,VNP14IMG,6,240,0,
